Gene_ID,Other_IDs
M9H77_00469,"CRO_T024853, Cro001G.20924.1.p1, CrChr3.3667, CRO_T111414"
M9H77_00548,CRO_T014838
M9H77_00452,CrChr3.3314
M9H77_00454,"CRO_T003248, CrChr3.3313, CRO_T138990"
M9H77_00455,CrChr3.3312
M9H77_00470,"CRO_T018350, Cro001G.20912.1.p1, CrChr3.3681, CRO_T111397"
M9H77_00216,CRO_T019488
M9H77_00218,CRO_T019488
M9H77_00427,"Cro001G.17364.2.p1, Cro001G.17364.5.p1"
M9H77_00226,"Cro001G.13667.1.p1, CrChr3.1848"
M9H77_00211,"Cro001G.13655.1.p1, CrChr3.1822"
M9H77_00212,"CRO_T000542, CRO_T137111"
M9H77_00457,"Cro001G.20918.1.p1, CrChr3.3677"
M9H77_00458,CrChr3.3676
M9H77_00459,"CRO_T030280, Cro001G.20915.1.p1, CRO_T111403"
M9H77_00460,"Cro001G.20920.1.p1, CrChr3.3674, CRO_T111404"
M9H77_00461,"CRO_T030277, Cro001G.20913.1.p1, CrChr3.3673, CRO_T111405"
M9H77_00462,"CRO_T030281, Cro001G.20914.1.p2, CrChr3.3672"
M9H77_00463,Cro001G.20921.1.p1
M9H77_00464,"CRO_T030283, Cro001G.20922.1.p1, Cro001G.20922.2.p1, CRO_T111407"
M9H77_00498,CRO_T005407
M9H77_00499,CRO_T023209
M9H77_00500,CRO_T023208
M9H77_00230,"CRO_T005408, CRO_T125911"
M9H77_00231,"CRO_T005409, Cro001G.12.1.p1, Cro001G.12.2.p1, Cro001G.12.3.p1, Cro001G.12.4.p1, CRO_T125912"
M9H77_00233,"CRO_T005411, CRO_T125914"
M9H77_00234,CRO_T005413
M9H77_00235,CRO_T016297
M9H77_00159,CRO_T024852
M9H77_00162,"CRO_T030283, Cro001G.20922.1.p1, Cro001G.20922.2.p1, CRO_T111407"
M9H77_00164,"CRO_T030281, Cro001G.20914.1.p2, CrChr3.3672"
M9H77_00390,CRO_T002832
M9H77_00137,Cro001G.15585.1.p1
M9H77_00316,CRO_T007090
M9H77_00317,CRO_T007091
M9H77_00115,CrChr4.3559
M9H77_00423,CRO_T032449
M9H77_00087,"CRO_T003527, CRO_T127336"
M9H77_00088,"Cro001G.3000.2.p1, Cro001G.3000.3.p1"
M9H77_00089,Cro001G.3001.1.p1
M9H77_00090,CRO_T003528
M9H77_00091,Cro001G.3002.1.p1
M9H77_00093,Cro001G.3003.1.p1
M9H77_00094,Cro001G.3000.1.p1
M9H77_00095,Cro001G.3003.2.p1
M9H77_00096,CRO_T019520
M9H77_00097,CRO_T019520
M9H77_00098,CRO_T019519
M9H77_00099,"Cro001G.2992.1.p1, CRO_T130649"
M9H77_00352,CrChr8.17
M9H77_00359,CrChr8.8
M9H77_00361,"CRO_T017201, Cro001G.12935.1.p1, CrChr8.6, CRO_T124962"
M9H77_00372,"CRO_T008469, Cro001G.5545.1.p2, CRO_T127073"
M9H77_00373,"CRO_T008468, Cro001G.5544.1.p1, Cro001G.5545.1.p1, CRO_T127074"
M9H77_00374,Cro001G.5544.1.p2
M9H77_00375,"CRO_T019642, Cro001G.5548.1.p1"
M9H77_00376,"Cro001G.5547.7.p1, CRO_T127077"
M9H77_00377,"CRO_T003187, Cro001G.5547.1.p1, CRO_T127078"
M9H77_00378,"Cro001G.5547.1.p4, Cro001G.5547.2.p2, Cro001G.5547.3.p2, CRO_T127079"
M9H77_00379,"Cro001G.5542.1.p1, CRO_T127080"
M9H77_00380,"CRO_T009914, Cro001G.5539.1.p1, CRO_T127081"
M9H77_00382,"CRO_T009919, CRO_T127082"
M9H77_00383,Cro001G.5541.1.p1
M9H77_00384,Cro001G.5540.1.p1
M9H77_00385,"Cro001G.5537.1.p1, Cro001G.5537.2.p1, Cro001G.5537.3.p1, Cro001G.5537.4.p1, Cro001G.5537.5.p1, CRO_T127085"
M9H77_00386,"CRO_T011843, Cro001G.5535.1.p1, CRO_T127086"
M9H77_00387,"CRO_T011842, Cro001G.5536.1.p1, CRO_T127087"
M9H77_00388,Cro001G.5534.1.p1
M9H77_00389,Cro001G.5533.1.p1
M9H77_00066,Cro001G.14471.1.p1
M9H77_00067,Cro001G.14473.1.p1
M9H77_00069,Cro001G.14474.1.p1
M9H77_00070,Cro001G.14472.1.p1
M9H77_00071,Cro001G.14475.1.p1
M9H77_00072,"Cro001G.14476.1.p1, CRO_T125574"
M9H77_00073,"Cro001G.14477.1.p1, CRO_T125573"
M9H77_00074,Cro001G.14480.2.p2
M9H77_00075,"Cro001G.14480.1.p1, Cro001G.14480.2.p1, Cro001G.14480.3.p1, Cro001G.14480.4.p1, Cro001G.14480.5.p1"
M9H77_00076,"CRO_T015886, Cro001G.14481.1.p1, Cro001G.14481.2.p1, Cro001G.14481.3.p1, CRO_T125571"
M9H77_00079,Cro001G.14478.1.p1
M9H77_00080,"Cro001G.14479.1.p1, CRO_T125568"
M9H77_00081,"CRO_T015890, CRO_T125567"
M9H77_00082,CRO_T010979
M9H77_00083,CRO_T013651
M9H77_00337,"Cro001G.12936.1.p1, CrChr8.5"
M9H77_00338,"CRO_T017201, Cro001G.12935.1.p1, CrChr8.6, CRO_T124962"
M9H77_00341,CrChr8.9
M9H77_00343,CrChr8.11
M9H77_00346,CrChr8.16
M9H77_00347,CrChr8.17
M9H77_00350,CrChr8.21
M9H77_00244,Cro001G.5543.1.p1
M9H77_00245,Cro001G.5549.1.p1
M9H77_00246,"CRO_T025540, CRO_T126676"
M9H77_00247,"Cro001G.5555.1.p1, Cro001G.5555.2.p1, Cro001G.5555.3.p1"
M9H77_00248,CRO_T025536
M9H77_00249,CRO_T011023
M9H77_00250,"CRO_T011027, CRO_T126681"
M9H77_00252,Cro001G.5553.1.p1
M9H77_00254,"CRO_T011022, CRO_T126683"
M9H77_00255,CRO_T011025
M9H77_00256,"CRO_T011028, CRO_T126686"
M9H77_00258,Cro001G.5560.1.p1
M9H77_00102,Cro001G.3914.2.p1
M9H77_00103,Cro001G.3916.1.p1
M9H77_00364,"CRO_T003633, Cro001G.12966.1.p1, CRO_T128151"
M9H77_00052,CrChr8.46
M9H77_00053,CrChr8.47
M9H77_00054,CrChr8.48
M9H77_00055,CrChr8.49
M9H77_00056,"Cro001G.12916.2.p2, Cro001G.12916.3.p2, CRO_T119405"
M9H77_00059,CrChr8.54
M9H77_00274,"CRO_T022288, Cro001G.10775.1.p1, CRO_T125943"
M9H77_00275,"CRO_T022283, CRO_T125944"
M9H77_00276,"CRO_T022284, CRO_T125945"
M9H77_00278,"CRO_T022289, Cro001G.10780.1.p1, CRO_T125947"
M9H77_00279,"CRO_T022286, Cro001G.10778.1.p1, CRO_T125948"
M9H77_00280,Cro001G.10783.1.p1
M9H77_00281,"CRO_T022612, Cro001G.10781.1.p1, CRO_T125951"
M9H77_00282,Cro001G.10786.1.p1
M9H77_00283,"CRO_T003300, Cro001G.10785.1.p1, CRO_T125954"
M9H77_00284,CRO_T003301
M9H77_00411,CrChr8.1
M9H77_00289,"CRO_T016830, Cro001G.10788.1.p1, CRO_T124658"
M9H77_00290,Cro001G.10800.1.p1
M9H77_00291,Cro001G.10801.1.p1
M9H77_00292,"CRO_T023411, CRO_T124661"
M9H77_00293,CrChr4.3913
M9H77_00294,"CRO_T023410, Cro001G.10803.1.p2, CRO_T124664"
M9H77_00296,"CRO_T023406, CRO_T124665"
M9H77_00298,"CRO_T031085, CRO_T124667"
M9H77_00300,"CRO_T031091, CRO_T124668"
M9H77_00301,CRO_T031084
M9H77_00302,"CRO_T031083, CRO_T124669"
M9H77_00303,"CRO_T031090, Cro001G.10790.1.p1, CrChr4.3925, CRO_T124670"
M9H77_00304,CRO_T031089
M9H77_00305,"CRO_T031088, Cro001G.10792.1.p1, CRO_T124672"
M9H77_00306,"Cro001G.10793.1.p1, Cro001G.10793.2.p1"
M9H77_00307,"Cro001G.10795.1.p1, CRO_T124674"
M9H77_00308,"CRO_T031082, CRO_T124675"
M9H77_00181,CRO_T004836
M9H77_33101,Cro001G.5591.7.p1
M9H77_33123,"CRO_T002653, Cro001G.5616.1.p1, CRO_T125603"
M9H77_33126,"CRO_T002650, Cro001G.5615.3.p2, Cro001G.5615.4.p1, CrChr6.3646, CRO_T125606"
M9H77_33150,"Cro001G.5619.1.p1, CrChr6.3617"
M9H77_33151,CrChr6.3616
M9H77_33159,"CRO_T000835, Cro001G.5642.1.p1, CRO_T124913"
M9H77_33164,"CRO_T003613, Cro001G.5645.1.p1, CrChr6.3604"
M9H77_33182,"CRO_T018462, Cro001G.5656.2.p1, CrChr6.3586"
M9H77_33211,"Cro001G.5683.1.p1, CrChr6.3552"
M9H77_33213,"Cro001G.5687.1.p1, CrChr6.3550"
M9H77_33249,"CRO_T016939, Cro001G.5752.1.p2, CrChr6.3514"
M9H77_33277,"CRO_T013442, Cro001G.5774.1.p2, CrChr6.3485, CRO_T112623"
M9H77_33305,Cro001G.5736.1.p1
M9H77_33312,Cro001G.5737.1.p1
M9H77_33376,"CRO_T010349, CrChr6.3372, CRO_T110030"
M9H77_33391,"Cro001G.5833.1.p1, Cro001G.5833.2.p1, CrChr6.3359"
M9H77_33392,"CRO_T011621, Cro001G.5830.1.p1, CrChr6.3358, CRO_T110047"
M9H77_33427,Cro001G.5856.2.p1
M9H77_33450,"CRO_T017603, Cro001G.5904.1.p1, CrChr6.3295, CRO_T110106"
M9H77_33453,"CRO_T017124, Cro001G.5876.1.p1, CrChr6.3292, CRO_T110109"
M9H77_33472,Cro001G.5880.1.p1
M9H77_33481,"CRO_T005453, Cro001G.5912.1.p1, CrChr6.3263, CRO_T110340"
M9H77_33516,"Cro001G.5933.1.p1, CrChr6.3226"
M9H77_33529,"CRO_T032513, Cro001G.5941.1.p1, Cro001G.5941.2.p1, CRO_T110391"
M9H77_33544,"CRO_T001197, Cro001G.5967.1.p1, CrChr6.3198"
M9H77_33546,"CrChr6.3196, CrChr8.90"
M9H77_33563,"CRO_T020046, Cro001G.5975.1.p1, Cro001G.5975.2.p1, CrChr6.3180, CRO_T110427"
M9H77_33570,"Cro001G.5977.1.p1, CrChr6.3176"
M9H77_33577,CrChr6.3169
M9H77_33582,"Cro001G.5987.1.p1, Cro001G.5987.2.p1, CrChr6.3166"
M9H77_33590,"Cro001G.6007.2.p1, Cro001G.6007.5.p1, CrChr6.3158"
M9H77_33593,"Cro001G.5992.1.p1, CrChr6.3155"
M9H77_33606,CrChr6.3142
M9H77_33614,"CRO_T006545, CrChr6.3137, CRO_T113777"
M9H77_33630,CRO_T113790
M9H77_33634,Cro001G.6027.1.p1
M9H77_33635,"Cro001G.6028.1.p1, CrChr6.3118, CRO_T113795"
M9H77_33636,"Cro001G.6026.1.p1, CrChr6.3116"
M9H77_33643,"CRO_T002736, Cro001G.6045.1.p1, CrChr6.3112, CRO_T113803"
M9H77_33646,"CRO_T012145, CRO_T113808"
M9H77_33649,"CrChr6.3106, CRO_T113811"
M9H77_33650,"CRO_T009949, Cro001G.6038.1.p1, CrChr6.3105, CRO_T113812"
M9H77_33651,"Cro001G.6047.1.p1, CrChr6.3104"
M9H77_33652,"CRO_T028979, Cro001G.6048.1.p1, CrChr6.3103, CRO_T113814"
M9H77_33653,"CRO_T021162, Cro001G.6040.1.p1, CRO_T113816"
M9H77_33654,Cro001G.6046.1.p1
M9H77_33655,"Cro001G.6087.1.p1, CrChr6.3101"
M9H77_33664,"CRO_T022200, CRO_T113825"
M9H77_33669,Cro001G.6055.1.p1
M9H77_33676,"Cro001G.6065.1.p1, CrChr6.3085"
M9H77_33677,CRO_T013477
M9H77_33678,Cro001G.6068.1.p1
M9H77_33679,"CRO_T010697, CrChr6.3081"
M9H77_33680,Cro001G.6069.1.p1
M9H77_33682,"CRO_T026996, CRO_T113848"
M9H77_33683,"Cro001G.6066.1.p1, CrChr6.3078"
M9H77_33684,"CRO_T026999, CRO_T113850"
M9H77_33685,"Cro001G.6061.1.p1, CrChr6.3076"
M9H77_33687,"CRO_T009125, Cro001G.6064.1.p1, CrChr6.3074, CRO_T113853"
M9H77_33689,"CRO_T009127, Cro001G.6072.1.p1, CRO_T113855"
M9H77_33690,"CRO_T016468, Cro001G.6073.1.p1, CrChr6.3072, CRO_T113856"
M9H77_33691,"CRO_T016469, Cro001G.6075.1.p1, Cro001G.6075.2.p1, Cro001G.6075.3.p1, CrChr6.3071, CRO_T113857"
M9H77_33694,"Cro001G.6081.1.p1, CrChr6.3068"
M9H77_33696,"Cro001G.6082.1.p1, CrChr6.3067, CRO_T104927"
M9H77_33697,"CRO_T008493, Cro001G.6083.3.p1, Cro001G.6083.4.p1, Cro001G.6083.5.p1"
M9H77_33698,"CRO_T008495, Cro001G.6084.1.p1, CrChr6.3065, CRO_T104930"
M9H77_33700,"Cro001G.6086.2.p1, CrChr6.3063"
M9H77_33701,"Cro001G.6100.1.p1, Cro001G.6100.2.p1, Cro001G.6100.3.p1, Cro001G.6100.4.p1, CrChr6.3062"
M9H77_33702,"CRO_T002109, Cro001G.6091.1.p1, CrChr6.3061, CRO_T104935"
M9H77_33703,"CRO_T015320, CrChr6.3060, CRO_T104936"
M9H77_33714,CRO_T007780
M9H77_33721,"Cro001G.6110.4.p1, CrChr6.3039"
M9H77_33726,CRO_T018450
M9H77_33727,"CRO_T018449, Cro001G.6113.2.p1, CrChr6.3036, CRO_T104964"
M9H77_33745,"CrChr6.3019, CRO_T104982"
M9H77_33750,"CRO_T014024, Cro001G.6124.1.p1, CrChr6.3013, CRO_T104988"
M9H77_33758,"Cro001G.6132.1.p1, CrChr6.3003"
M9H77_33764,"Cro001G.6140.1.p1, Cro001G.6140.2.p1, CrChr6.2995, CRO_T105003"
M9H77_33765,"Cro001G.6139.1.p1, CrChr6.2993"
M9H77_33767,"CRO_T004136, CrChr6.2991, CRO_T105006"
M9H77_33771,"CRO_T024436, CrChr6.2988, CRO_T105011"
M9H77_33781,"CrChr6.2980, CRO_T105023"
M9H77_33790,"Cro001G.6148.1.p1, Cro001G.6148.10.p1, Cro001G.6148.11.p1, Cro001G.6148.12.p1, Cro001G.6148.13.p1, Cro001G.6148.2.p1, Cro001G.6148.3.p1, Cro001G.6148.4.p1, Cro001G.6148.5.p1, Cro001G.6148.6.p1, Cro001G.6148.7.p1, Cro001G.6148.8.p1, Cro001G.6148.9.p1"
M9H77_33791,"CRO_T024616, Cro001G.6146.1.p1, CRO_T105034"
M9H77_33793,"CRO_T014119, Cro001G.6162.1.p1, CrChr6.2966, CRO_T105036"
M9H77_33795,"CRO_T006454, CRO_T105038"
M9H77_33796,"CRO_T006453, Cro001G.6165.1.p1, Cro001G.6165.2.p1, CrChr6.2963, CRO_T105039"
M9H77_33799,Cro001G.6177.2.p1
M9H77_33802,CRO_T033420
M9H77_33803,CRO_T105048
M9H77_33806,Cro001G.6169.1.p1
M9H77_33807,Cro001G.6170.1.p1
M9H77_33808,Cro001G.6174.5.p1
M9H77_33809,"CRO_T032174, CRO_T105054"
M9H77_33811,CRO_T105056
M9H77_33813,Cro001G.6182.1.p1
M9H77_33814,CRO_T032173
M9H77_33815,"CRO_T008045, CrChr6.2949, CRO_T105058"
M9H77_33816,Cro001G.6184.1.p1
M9H77_33820,"CRO_T008049, CRO_T105061"
M9H77_33821,"CRO_T008047, Cro001G.6183.1.p1, Cro001G.6183.2.p1, Cro001G.6183.3.p1, Cro001G.6183.4.p2, Cro001G.6183.5.p1, CrChr6.2946, CRO_T105062"
M9H77_33822,"Cro001G.6180.1.p1, CrChr6.2945"
M9H77_33824,"Cro001G.6181.1.p1, CrChr6.2944"
M9H77_33825,"Cro001G.6186.1.p1, CrChr6.2943"
M9H77_33826,CRO_T021361
M9H77_33829,"Cro001G.6188.1.p1, CrChr6.2942"
M9H77_33830,"CRO_T024268, Cro001G.6190.1.p1, CrChr6.2940, CRO_T105071"
M9H77_33831,"Cro001G.6191.1.p1, CrChr6.2939"
M9H77_33832,"CRO_T023254, Cro001G.6192.1.p1, CrChr6.2938, CRO_T105074"
M9H77_33833,"Cro001G.6193.1.p1, Cro001G.6193.2.p1"
M9H77_33835,"Cro001G.6197.1.p1, Cro001G.6197.2.p1"
M9H77_33838,"CRO_T025189, CrChr6.2932"
M9H77_33841,"Cro001G.6200.1.p1, CrChr6.2930, CRO_T105084"
M9H77_33844,"Cro001G.6201.1.p1, Cro001G.6201.2.p1"
M9H77_33846,"Cro001G.6206.1.p1, Cro001G.6206.2.p1, CrChr6.2927, CRO_T105089"
M9H77_33847,"CRO_T007782, Cro001G.6208.1.p1, CrChr6.2925, CRO_T105093"
M9H77_33849,"CRO_T007781, Cro001G.6204.1.p1, CrChr6.2926, CRO_T105091"
M9H77_33850,"Cro001G.6206.1.p1, Cro001G.6206.2.p1, CrChr6.2927, CRO_T105089"
M9H77_33852,"CRO_T024720, CrChr6.2922, CRO_T112954"
M9H77_33853,"CRO_T018638, Cro001G.6213.1.p1, CrChr6.2921, CRO_T112955"
M9H77_33857,"CRO_T018437, CRO_T112961"
M9H77_33859,CRO_T018438
M9H77_33860,"Cro001G.6216.1.p1, CrChr6.2914, CRO_T112964"
M9H77_33864,"CRO_T017149, Cro001G.6237.1.p1, CrChr6.2912, CRO_T112966"
M9H77_33881,"CRO_T013960, Cro001G.6230.1.p1, CrChr6.2896, CRO_T112985"
M9H77_33883,"CRO_T005167, Cro001G.6231.1.p1, CrChr6.2894, CRO_T112987"
M9H77_33884,"Cro001G.6234.1.p1, CrChr6.2893"
M9H77_33892,"CRO_T010473, Cro001G.6256.1.p1, CrChr6.2887, CRO_T112995"
M9H77_33893,"CRO_T010471, Cro001G.6257.1.p1"
M9H77_33894,CRO_T010474
M9H77_33895,"Cro001G.6255.5.p1, CrChr6.2885"
M9H77_33896,"CRO_T020061, CrChr6.2884, CRO_T112999"
M9H77_33897,"CRO_T020062, CrChr6.2883, CRO_T113000"
M9H77_33898,"Cro001G.6258.1.p1, CrChr6.2882"
M9H77_33899,"Cro001G.6241.1.p1, Cro001G.6241.2.p1, CrChr6.2881, CRO_T113002"
M9H77_33900,"CRO_T022115, CRO_T113003"
M9H77_33901,"CRO_T022114, Cro001G.6242.1.p1, CrChr6.2880, CRO_T113004"
M9H77_33902,"CRO_T022113, CRO_T113005"
M9H77_33904,CRO_T022111
M9H77_33905,CRO_T031521
M9H77_33906,CRO_T002845
M9H77_33907,CrChr6.2875
M9H77_33908,CrChr6.2874
M9H77_33910,"CRO_T009208, Cro001G.6250.1.p1, CrChr6.2872, CRO_T113014"
M9H77_33911,CRO_T003671
M9H77_33913,"CRO_T012629, Cro001G.6251.1.p1, CrChr6.2871, CRO_T113017"
M9H77_33914,CRO_T012630
M9H77_33916,"CRO_T013649, Cro001G.6270.1.p1, CRO_T113020"
M9H77_33917,CRO_T013650
M9H77_33918,CRO_T015809
M9H77_33919,CRO_T015807
M9H77_33920,"CRO_T031535, Cro001G.6272.1.p1, CrChr6.2864, CRO_T113024"
M9H77_33921,CRO_T007905
M9H77_33922,CRO_T007904
M9H77_33923,"CRO_T007898, CRO_T113027"
M9H77_33925,CRO_T007901
M9H77_33926,"CRO_T007907, CRO_T113030"
M9H77_33928,CRO_T007906
M9H77_33929,Cro001G.6271.10.p1
M9H77_33930,"Cro001G.6259.1.p1, CrChr6.2860, CRO_T113033"
M9H77_33931,CRO_T025787
M9H77_33932,"Cro001G.6260.1.p1, CrChr6.2859"
M9H77_33933,"CRO_T000971, CRO_T113035"
M9H77_33934,"CRO_T005457, Cro001G.6266.1.p2, CrChr6.2857, CRO_T113036, CRO_T113038"
M9H77_33935,"CRO_T005460, CRO_T113039"
M9H77_33936,CRO_T005459
M9H77_33937,"Cro001G.6268.1.p1, CrChr6.2853, CRO_T113042"
M9H77_33938,CRO_T000772
M9H77_33940,CRO_T000773
M9H77_33941,"CRO_T000767, CRO_T113048"
M9H77_33949,"CRO_T025484, Cro001G.6277.1.p2"
M9H77_33950,"Cro001G.6275.1.p1, CrChr6.2845"
M9H77_33952,"CRO_T020910, Cro001G.6274.1.p1, CRO_T113063"
M9H77_33953,CrChr6.2842
M9H77_33954,"Cro001G.6280.1.p1, Cro001G.6280.3.p1, Cro001G.6280.5.p1"
M9H77_33955,Cro001G.6279.1.p1
M9H77_33957,CRO_T021849
M9H77_33958,"CRO_T008408, CrChr6.2838, CRO_T113068"
M9H77_33961,CRO_T113071
M9H77_33962,CRO_T020733
M9H77_33964,"CRO_T017824, CRO_T113073"
M9H77_33965,"CRO_T017514, Cro001G.6278.1.p1, CrChr6.2834, CRO_T113075"
M9H77_33968,"CRO_T028962, CRO_T113077"
M9H77_33969,CRO_T028963
M9H77_33972,"Cro001G.6282.1.p1, Cro001G.6282.2.p1"
M9H77_33973,"CRO_T018566, CrChr6.2829, CRO_T113082"
M9H77_33975,CRO_T113083
M9H77_33976,CrChr6.2825
M9H77_33978,CRO_T027505
M9H77_33979,"Cro001G.6287.1.p1, CrChr6.2822, CRO_T113091"
M9H77_33980,"Cro001G.6284.1.p1, CrChr6.2821, CRO_T113092"
M9H77_33986,Cro001G.6291.1.p1
M9H77_33988,"Cro001G.6292.1.p1, CrChr6.2814, CRO_T113097"
M9H77_33989,CRO_T002020
M9H77_33991,"CRO_T002016, Cro001G.6293.1.p1, CrChr6.2811, CRO_T113100"
M9H77_33992,"CRO_T002019, Cro001G.6296.1.p1, Cro001G.6296.2.p1, CrChr6.2810, CRO_T113101"
M9H77_33994,CRO_T029154
M9H77_33995,"CRO_T029153, Cro001G.6300.1.p1, Cro001G.6300.2.p1, Cro001G.6300.3.p2, Cro001G.6300.4.p1, Cro001G.6300.5.p1, CrChr6.2807, CRO_T113105"
M9H77_34002,"Cro001G.6307.2.p1, CrChr6.2803"
M9H77_34004,"Cro001G.6306.1.p1, CrChr6.2801, CRO_T113116"
M9H77_34007,CRO_T015464
M9H77_34012,"CRO_T025217, Cro001G.6310.1.p1, CrChr6.2795, CRO_T113122"
M9H77_34024,"Cro001G.6316.1.p1, CrChr6.2787"
M9H77_34025,"CRO_T022788, CRO_T113139"
M9H77_34028,Cro001G.6320.1.p1
M9H77_34038,"CRO_T027234, Cro001G.6322.3.p1, CrChr6.2776, CRO_T113154"
M9H77_34043,"CRO_T031512, Cro001G.6326.1.p1, CrChr6.2774, CRO_T113160"
M9H77_34044,"CRO_T009779, CRO_T113161"
M9H77_34050,"Cro001G.6331.1.p1, CrChr6.2770, CRO_T113168"
M9H77_34052,"CRO_T019494, CrChr6.2768, CRO_T113170"
M9H77_34053,Cro001G.6328.1.p1
M9H77_34063,"CRO_T011146, Cro001G.6334.1.p1, CRO_T113182"
M9H77_34068,"CRO_T002784, Cro001G.6336.1.p1, CrChr6.2756, CRO_T113186"
M9H77_34069,CrChr6.2755
M9H77_34076,"Cro001G.6340.1.p1, Cro001G.6340.2.p1, CrChr6.2754"
M9H77_34077,"CRO_T001331, Cro001G.6338.1.p1, CrChr6.2753, CRO_T113191"
M9H77_34078,CRO_T001332
M9H77_34083,"Cro001G.6344.1.p1, CrChr6.2748"
M9H77_34085,Cro001G.6348.2.p1
M9H77_34089,"CRO_T026425, Cro001G.6353.1.p2, CrChr6.2744, CRO_T113207"
M9H77_34091,"Cro001G.6355.1.p1, CrChr6.2742, CRO_T113210"
M9H77_34092,"CRO_T021197, CRO_T113213"
M9H77_34093,"CRO_T030883, Cro001G.6356.1.p1, CRO_T113216"
M9H77_34094,"CRO_T030884, CrChr6.2737, CRO_T113217"
M9H77_34098,"Cro001G.6354.1.p1, CrChr6.2732"
M9H77_34100,"Cro001G.6351.1.p1, CrChr6.2731, CRO_T113224"
M9H77_34106,"CRO_T027520, CrChr6.2724, CRO_T113232"
